description,name,nodeId,contentHash,grain,loadedAt
The ADT_EVENTS table serves as the primary repository for ADT event history data. It includes multiple foreign keys referencing other ADT tables.,ADT_EVENTS,emr|dbo|ADT_EVENTS,fbe1df4e62d21271,,2026-09-06T00:00:00Z
User actions performed in response to alerts.,ALERT_ACTIONS,emr|dbo|ALERT_ACTIONS,f9a88b9f83de0399,,2026-09-06T00:00:00Z
"This table holds general historical data for various medication warnings or advisories, capturing information each time a warning is activated during different activities. To obtain patient details, connect this table to the CLINICAL_ALERTS table, which can then be linked to the PATIENTS or PATIENT_ENCOUNTERS table; for order-related information, link to ALT_ORDINFO. For specific medication or condition details related to each warning type, connect to relevant tables such as ALT_DRUG_ALLERGY for drug-allergy warnings, ALT_DRUG_DFALC for drug-drug, drug-food, and drug-alcohol warnings, ALT_DRUG_DUPTHERPY and ALT_DRUG_DUPTHYMED for duplicate therapy warnings, ALT_DRUG_IV and ALT_DRUG_IVMED for IV warnings, and ALT_DRUG_PREGNANCY and ALT_DRUG_PREGMED for pregnancy warnings.",ALERT_HISTORY,emr|dbo|ALERT_HISTORY,8019e1f55b4ba120,,2026-09-06T00:00:00Z
This table contains the information from the Hospital Beds (BED) master file.,BED_CONFIG,emr|dbo|BED_CONFIG,11c268f20431f5ed,,2026-09-06T00:00:00Z
"This table functions like a standard ""Date Dimension"" in a Data Warehouse. By linking your dates to this table, you can prevent the need for date functions to be processed on the reporting server, which can be slow as it typically retrieves all rows and filters them in memory. This table streamlines the process and allows you to utilize the EMR database as if it were a data warehouse.",CALENDAR_DATES,emr|dbo|CALENDAR_DATES,7b4430e24d17bde4,,2026-09-06T00:00:00Z
"The CLINICAL_ALERTS table holds a single record for each alert generated in the clinical application. Each record is identified by the alert ID and includes essential details about the alert, including the patient, patient ENC, alert type, and user visibility status.",CLINICAL_ALERTS,emr|dbo|CLINICAL_ALERTS,bcbe63bfc5a68bba,,2026-09-06T00:00:00Z
"This table holds general information from General Use Notes items, emphasizing time-insensitive data that is recorded once per item. Other note tables, such as NOTES_ACCT and CODING_CLA_NOTES, store data for various types of notes.",CLINICAL_NOTES,emr|dbo|CLINICAL_NOTES,cda23b719130738a,,2026-09-06T00:00:00Z
"The CLINICAL_NOTE_TEXT table stores the free-text body of clinical notes, one row per note text segment, linked to note metadata by note ID.",CLINICAL_NOTE_TEXT,emr|dbo|CLINICAL_NOTE_TEXT,664fcc9087f1d73f,,2026-09-06T00:00:00Z
This table holds information regarding groupers of category values.,CONFIG_GROUPER_CATEGORIES,emr|dbo|CONFIG_GROUPER_CATEGORIES,c7a60da6022f2f72,,2026-09-06T00:00:00Z
The DEPARTMENTS table holds general information regarding departments.,DEPARTMENTS,emr|dbo|DEPARTMENTS,3a4248be1a3b751d,,2026-09-06T00:00:00Z
