Name,Full Name,Asset Type,Domain,Description,Stewards,Provenance
A1c Testing Compliance,reporting.USP_A1c_Compliance,Business Metric,,"Diabetic patients with at least one A1c test in the measurement window — testing-cadence compliance, not result values.",,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Active Diabetic Patients (reporting.USP_Active_Diabetics),reporting.USP_Active_Diabetics,Business Metric,,"2 definitions share the name 'Active Diabetic Patients' — unresolved (cousin_conflict flag open). Actively managed diabetic patients: coded diagnosis joined to an active-status flag, the reporting team's cut.",,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Care Cascade (Linear),reporting.USP_Care_Cascade,Business Metric,,A linear care cascade: each stage filters the previous one from identification through outreach to follow-up.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Controlled Diabetes Rate,reporting.USP_Controlled_Diabetes,Business Metric,,Share of diabetic patients whose most recent A1c is under 8.0 — the in-control portion of the population.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Controlled Diabetes Rate (Monthly),reporting.USP_Controlled_Diabetes_M,Business Metric,,"The controlled-diabetes share computed per calendar month, for trending rather than a point-in-time rate.",,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Line-Ending Probe A,reporting.USP_Crlf_Probe_A,Business Metric,,A line-ending normalization control: identical logic to its sibling except carriage returns.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Line-Ending Probe B,reporting.USP_Crlf_Probe_B,Business Metric,,A line-ending normalization control: identical logic to its sibling except line feeds.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
DM Patient List,reporting.USP_DM_Patient_List,Business Metric,,A patient list for diabetes-management workflows; duplicates the roster logic under a different name.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (Composite),reporting.USP_DM_Registry_Composite,Business Metric,,"The composite registry definition: a patient qualifies by meeting at least two of the three paths — coded diagnosis, A1c at or above 6.5, or diabetes medication orders.",Quality & Registry Team,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (reporting.USP_DM_Registry_MedDerived),reporting.USP_DM_Registry_MedDerived,Business Metric,,2 definitions share the name 'Diabetes Registry' — unresolved (cousin_conflict flag open). A registry cut derived from medication orders alone: metformin or insulin glargine implies membership.,Quality & Registry Team,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (reporting.USP_Diabetes_Registry),reporting.USP_Diabetes_Registry,Business Metric,,2 definitions share the name 'Diabetes Registry' — unresolved (grain_shift flag open). The maintained diabetes registry: patients formally enrolled in the registry table with an enrollment date.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (Legacy v1),reporting.USP_Diabetes_Registry_v1,Business Metric,,"The retired first-generation registry pull, kept for comparison: enrollment plus an activity filter the current registry dropped.",,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Billing),reporting.USP_Diabetic_Billing,Business Metric,,"Patients billed with diabetes-related procedure codes — the finance view of the diabetic population, built from claims rather than clinical records.",Finance Analyst,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Codeset (reporting.USP_Diabetic_CodesetA),reporting.USP_Diabetic_CodesetA,Business Metric,,2 definitions share the name 'Diabetic Codeset' — unresolved (misnomer flag open). The hand-maintained diabetic ICD code list (80 codes) and the patients it selects — the authoring team's copy.,Dr. Peterson,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (excl. gestational),reporting.USP_Diabetic_ExclGest,Business Metric,,Diabetic patients excluding gestational diabetes codes — the chronic-condition reading of the same population.,OBGyn,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (incl. gestational),reporting.USP_Diabetic_InclGest,Business Metric,,Diabetic patients counting gestational diabetes codes as qualifying — the inclusive obstetric reading.,OBGyn,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients,reporting.USP_Diabetic_Panel,Business Metric,,Diabetic patients on a primary-care panel: the shared base cohort the panel-scoped variants extend.,Dr. Peterson,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Diagnosis Codes),reporting.USP_Diabetic_Patients_DX,Business Metric,,Patients identified as diabetic through coded diagnoses: any E11-family (type 2 diabetes) ICD code on the diagnosis record.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Lab Criteria),reporting.USP_Diabetic_Patients_Lab,Business Metric,,Patients identified as diabetic through laboratory evidence: a hemoglobin A1c result at or above 6.5 percent.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patient Roster,reporting.USP_Diabetic_Roster,Business Metric,,"A flat roster of diabetic patients for outreach lists: identity fields only, one row per patient.",,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Enrollment Snapshot (reporting.USP_Enrollment_Snapshot),reporting.USP_Enrollment_Snapshot,Business Metric,,"2 definitions share the name 'Enrollment Snapshot' — unresolved. Point-in-time count of registry enrollment, produced by the reporting schema.",,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
High ED Utilizers Without PCP,reporting.USP_High_ED_NoPCP,Business Metric,,Patients with heavy emergency-department use and no assigned primary-care provider — unmanaged high utilizers.,ED Medical Director,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
High ED Utilizers (reporting.USP_High_ED_Utilizers),reporting.USP_High_ED_Utilizers,Business Metric,,2 definitions share the name 'High ED Utilizers' — unresolved (grain_shift flag open). High emergency-department utilizers counted as DISTINCT patients — how many people exceed the visit threshold.,ED Medical Director,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Missed Appointments,reporting.USP_Missed_Appointments,Business Metric,,"Appointments with a no-show status, counted at the appointment grain for schedule management.",Dr. Peterson,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Outreach Funnel (Diamond),reporting.USP_Outreach_Funnel,Business Metric,,An outreach funnel whose branches split from one base and re-join — the diamond dependency shape.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (ED Utilization),reporting.USP_Panel_ED_Visits,Business Metric,,Panel diabetic patients who also appear in emergency-department visits — care happening outside the panel.,Dr. Peterson,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Missed PCP Appointments),reporting.USP_Panel_NoShows,Business Metric,,Panel diabetic patients who missed their primary-care appointments — the outreach-priority slice of the panel.,Dr. Peterson,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Panel Refresh (Multi-Statement),reporting.USP_Panel_Refresh,Business Metric,,A refresh procedure of several sequential statements; the final select defines its output.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Panel Rollup (Recursive),reporting.USP_Panel_Rollup,Business Metric,,A panel rollup built stepwise over its own prior stage — the self-referencing chain shape.,,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
PHI Literal Probe,reporting.USP_Phi_Probe,Business Metric,,"A deliberately planted patient-name literal, existing so the PHI scan proves it fires.",,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
