Name,Status,Definition,Acronym,Experts,Stewards,Parent Term Name,IsDefinitionRichText
A1c Testing Compliance,Draft,"Diabetic patients with at least one A1c test in the measurement window — testing-cadence compliance, not result values.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Active Diabetic Patients (reporting.USP_Active_Diabetics),Draft,"2 definitions share the name 'Active Diabetic Patients' — unresolved (cousin_conflict flag open). Actively managed diabetic patients: coded diagnosis joined to an active-status flag, the reporting team's cut.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Care Cascade (Linear),Draft,"A linear care cascade: each stage filters the previous one from identification through outreach to follow-up.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Controlled Diabetes Rate,Draft,"Share of diabetic patients whose most recent A1c is under 8.0 — the in-control portion of the population.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Controlled Diabetes Rate (Monthly),Draft,"The controlled-diabetes share computed per calendar month, for trending rather than a point-in-time rate.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Line-Ending Probe A,Draft,"A line-ending normalization control: identical logic to its sibling except carriage returns.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Line-Ending Probe B,Draft,"A line-ending normalization control: identical logic to its sibling except line feeds.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
DM Patient List,Draft,"A patient list for diabetes-management workflows; duplicates the roster logic under a different name.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Diabetes Registry (Composite),Draft,"The composite registry definition: a patient qualifies by meeting at least two of the three paths — coded diagnosis, A1c at or above 6.5, or diabetes medication orders.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Quality & Registry Team,,false
Diabetes Registry (reporting.USP_DM_Registry_MedDerived),Draft,"2 definitions share the name 'Diabetes Registry' — unresolved (cousin_conflict flag open). A registry cut derived from medication orders alone: metformin or insulin glargine implies membership.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Quality & Registry Team,,false
Diabetes Registry (reporting.USP_Diabetes_Registry),Draft,"2 definitions share the name 'Diabetes Registry' — unresolved (grain_shift flag open). The maintained diabetes registry: patients formally enrolled in the registry table with an enrollment date.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Diabetes Registry (Legacy v1),Draft,"The retired first-generation registry pull, kept for comparison: enrollment plus an activity filter the current registry dropped.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,,,false
Diabetic Patients (Billing),Draft,"Patients billed with diabetes-related procedure codes — the finance view of the diabetic population, built from claims rather than clinical records.
[parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)]",,,Finance Analyst,,false
