TABLE_NAME,DESCRIPTION
ADT_EVENTS,The ADT_EVENTS table serves as the primary repository for ADT event history data. It includes multiple foreign keys referencing other ADT tables.
ALERT_ACTIONS,User actions performed in response to alerts.
ALERT_HISTORY,"This table holds general historical data for various medication warnings or advisories, capturing information each time a warning is activated during different activities. To obtain patient details, connect this table to the CLINICAL_ALERTS table, which can then be linked to the PATIENTS or PATIENT_ENCOUNTERS table; for order-related information, link to ALT_ORDINFO. For specific medication or condition details related to each warning type, connect to relevant tables such as ALT_DRUG_ALLERGY for drug-allergy warnings, ALT_DRUG_DFALC for drug-drug, drug-food, and drug-alcohol warnings, ALT_DRUG_DUPTHERPY and ALT_DRUG_DUPTHYMED for duplicate therapy warnings, ALT_DRUG_IV and ALT_DRUG_IVMED for IV warnings, and ALT_DRUG_PREGNANCY and ALT_DRUG_PREGMED for pregnancy warnings."
BED_CONFIG,This table contains the information from the Hospital Beds (BED) master file.
CALENDAR_DATES,"This table functions like a standard ""Date Dimension"" in a Data Warehouse. By linking your dates to this table, you can prevent the need for date functions to be processed on the reporting server, which can be slow as it typically retrieves all rows and filters them in memory. This table streamlines the process and allows you to utilize the EMR database as if it were a data warehouse."
CLINICAL_ALERTS,"The CLINICAL_ALERTS table holds a single record for each alert generated in the clinical application. Each record is identified by the alert ID and includes essential details about the alert, including the patient, patient ENC, alert type, and user visibility status."
CLINICAL_NOTES,"This table holds general information from General Use Notes items, emphasizing time-insensitive data that is recorded once per item. Other note tables, such as NOTES_ACCT and CODING_CLA_NOTES, store data for various types of notes."
CONFIG_GROUPER_CATEGORIES,This table holds information regarding groupers of category values.
CONFIG_VALUE_SET,"This table serves as a configuration lookup, holding value sets utilized for department rollups, location groupings, and various reporting categories."
DEPARTMENTS,The DEPARTMENTS table holds general information regarding departments.
DIAGNOSES,The DIAGNOSES table holds fundamental details regarding diagnoses.
